IdAlg,Procesos,Prank,Tamaño,Tiempo
CANNON,8,0,600,1.665309
CANNON,8,1,600,1.807073
CANNON,8,2,600,1.737480
CANNON,8,3,600,1.821860
CANNON,8,4,600,1.749088
CANNON,8,5,600,1.805905
CANNON,8,6,600,1.627137
CANNON,8,7,600,1.802078
CANNON,8,0,1200,12.981843
CANNON,8,1,1200,13.651610
CANNON,8,2,1200,13.328286
CANNON,8,3,1200,13.677827
CANNON,8,4,1200,13.339278
CANNON,8,5,1200,13.657830
CANNON,8,6,1200,12.915692
CANNON,8,7,1200,13.686188
CANNON,8,0,400,0.361911
CANNON,8,1,400,0.414333
CANNON,8,2,400,0.385372
CANNON,8,3,400,0.415356
CANNON,8,4,400,0.402698
CANNON,8,5,400,0.414592
CANNON,8,6,400,0.349229
CANNON,8,7,400,0.419848
CANNON,8,0,600,1.647281
CANNON,8,1,600,1.791976
CANNON,8,2,600,1.717203
CANNON,8,3,600,1.801490
CANNON,8,4,600,1.731172
CANNON,8,5,600,1.791165
CANNON,8,6,600,1.615696
CANNON,8,7,600,1.792000
