IdAlg,Procesos,Prank,Tamaño,Tiempo
2D,4,0,400,2.060555
2D,4,1,400,2.082790
2D,4,2,400,2.082219
2D,4,3,400,2.084594
2D,4,0,900,15.657856
2D,4,1,900,15.761633
2D,4,2,900,15.760890
2D,4,3,900,15.772819
2D,4,0,1600,69.152590
2D,4,1,1600,69.471317
2D,4,2,1600,69.469678
2D,4,3,1600,69.501131
2D,4,0,2500,222.553395
2D,4,1,2500,223.368531
2D,4,2,2500,223.361123
2D,4,3,2500,223.408830
2D,9,0,441,2.248138
2D,9,1,441,2.320186
2D,9,2,441,2.319305
2D,9,3,441,2.321780
2D,9,4,441,2.318347
2D,9,5,441,2.317632
2D,9,6,441,2.319377
2D,9,7,441,2.312077
2D,9,8,441,2.323153
2D,9,0,900,13.559687
2D,9,1,900,13.665795
2D,9,2,900,13.662066
2D,9,3,900,13.667549
2D,9,4,900,13.655357
2D,9,5,900,13.663172
2D,9,6,900,13.666010
2D,9,7,900,13.669569
2D,9,8,900,13.677208
2D,9,0,1764,78.709996
2D,9,1,1764,79.523653
2D,9,2,1764,79.520334
2D,9,3,1764,79.529913
2D,9,4,1764,79.514061
2D,9,5,1764,79.536962
2D,9,6,1764,79.535522
2D,9,7,1764,79.540072
2D,9,8,1764,79.545088
2D,16,0,400,1.810834
2D,16,1,400,1.843103
2D,16,2,400,1.788418
2D,16,3,400,1.858795
2D,16,4,400,1.812432
2D,16,5,400,1.827196
2D,16,6,400,1.852817
2D,16,7,400,1.851675
2D,16,8,400,1.829634
2D,16,9,400,1.858149
2D,16,10,400,1.857441
2D,16,11,400,1.829233
2D,16,12,400,1.845537
2D,16,13,400,1.857630
2D,16,14,400,1.831152
2D,16,15,400,1.829094
2D,16,0,1024,20.881160
2D,16,1,1024,21.154366
2D,16,2,1024,21.135944
2D,16,3,1024,21.156646
2D,16,4,1024,21.153974
2D,16,5,1024,21.141696
2D,16,6,1024,21.155491
2D,16,7,1024,21.149097
2D,16,8,1024,21.166033
2D,16,9,1024,21.167038
2D,16,10,1024,21.165266
2D,16,11,1024,21.141815
2D,16,12,1024,21.127156
2D,16,13,1024,21.153960
2D,16,14,1024,21.155988
2D,16,15,1024,21.143653
2D,16,0,1600,68.297594
2D,16,1,1600,69.038873
2D,16,2,1600,69.036951
2D,16,3,1600,69.042726
2D,16,4,1600,69.025331
2D,16,5,1600,69.040865
2D,16,6,1600,69.031270
2D,16,7,1600,69.038152
2D,16,8,1600,69.026909
2D,16,9,1600,69.034483
2D,16,10,1600,69.038816
2D,16,11,1600,69.022590
2D,16,12,1600,69.040188
2D,16,13,1600,69.025197
2D,16,14,1600,69.051069
2D,16,15,1600,69.028402
