IdAlg,Procesos,Prank,Tamaño,Tiempo
2DD,4,0,400,0.754689
2DD,4,1,400,0.652378
2DD,4,2,400,0.776716
2DD,4,3,400,0.603935
2DD,4,0,600,2.385417
2DD,4,1,600,3.017171
2DD,4,2,600,2.488658
2DD,4,3,600,2.898637
2DD,4,0,900,8.096968
2DD,4,1,900,8.522056
2DD,4,2,900,8.362608
2DD,4,3,900,8.242863
2DD,4,0,1200,19.584313
2DD,4,1,1200,20.832814
2DD,4,2,1200,20.076176
2DD,4,3,1200,20.332714
2DD,4,0,1500,41.140425
2DD,4,1,1500,41.810480
2DD,4,2,1500,41.927420
2DD,4,3,1500,41.023343
2DD,4,0,1800,72.225131
2DD,4,1,1800,70.848518
2DD,4,2,1800,73.370853
2DD,4,3,1800,69.712502
2DD,4,0,2700,245.057202
2DD,4,1,2700,249.867796
2DD,4,2,2700,247.666640
2DD,4,3,2700,247.303605
2DD,9,0,2700,228.984757
2DD,9,1,2700,231.666609
2DD,9,2,2700,112.647189
2DD,9,3,2700,229.400867
2DD,9,4,2700,231.478934
2DD,9,5,2700,112.640223
2DD,9,6,2700,229.376455
2DD,9,7,2700,231.676747
2DD,9,8,2700,112.328077
2DD,9,0,1800,61.841733
2DD,9,1,1800,62.396607
2DD,9,2,1800,33.419399
2DD,9,3,1800,62.006798
2DD,9,4,1800,62.322687
2DD,9,5,1800,33.406168
2DD,9,6,1800,61.980045
2DD,9,7,1800,62.408867
2DD,9,8,1800,33.277053
2DD,9,0,1500,34.458726
2DD,9,1,1500,34.845568
2DD,9,2,1500,18.011121
2DD,9,3,1500,34.539673
2DD,9,4,1500,34.824086
2DD,9,5,1500,17.999558
2DD,9,6,1500,34.524624
2DD,9,7,1500,34.857469
2DD,9,8,1500,17.947649
2DD,9,0,1200,17.196417
2DD,9,1,1200,17.320490
2DD,9,2,1200,9.049777
2DD,9,3,1200,17.239311
2DD,9,4,1200,17.309866
2DD,9,5,1200,9.041901
2DD,9,6,1200,17.224463
2DD,9,7,1200,17.327711
2DD,9,8,1200,9.011158
2DD,9,0,900,7.442939
2DD,9,1,900,7.560142
2DD,9,2,900,3.900600
2DD,9,3,900,7.465018
2DD,9,4,900,7.561522
2DD,9,5,900,3.888674
2DD,9,6,900,7.452934
2DD,9,7,900,7.566919
2DD,9,8,900,3.879443
2DD,9,0,600,1.971828
2DD,9,1,600,2.129798
2DD,9,2,600,1.294098
2DD,9,3,600,1.978821
2DD,9,4,600,2.138692
2DD,9,5,600,1.285046
2DD,9,6,600,1.965215
2DD,9,7,600,2.137999
2DD,9,8,600,1.288322
2DD,16,0,400,0.258619
2DD,16,1,400,0.301121
2DD,16,2,400,0.513732
2DD,16,3,400,0.718776
2DD,16,4,400,0.336260
2DD,16,5,400,0.275396
2DD,16,6,400,0.512299
2DD,16,7,400,0.716761
2DD,16,8,400,0.335879
2DD,16,9,400,0.304125
2DD,16,10,400,0.453833
2DD,16,11,400,0.708135
2DD,16,12,400,0.334522
2DD,16,13,400,0.303905
2DD,16,14,400,0.514463
2DD,16,15,400,0.632479
2DD,16,0,600,0.754498
2DD,16,1,600,0.818250
2DD,16,2,600,1.584980
2DD,16,3,600,2.301840
2DD,16,4,600,0.935086
2DD,16,5,600,0.751396
2DD,16,6,600,1.583806
2DD,16,7,600,2.297189
2DD,16,8,600,0.934102
2DD,16,9,600,0.818985
2DD,16,10,600,1.453515
2DD,16,11,600,2.293160
2DD,16,12,600,0.933286
2DD,16,13,600,0.818355
2DD,16,14,600,1.586304
2DD,16,15,600,2.108331
2DD,16,0,800,1.747228
2DD,16,1,800,1.858750
2DD,16,2,800,3.529893
2DD,16,3,800,5.555601
2DD,16,4,800,2.074435
2DD,16,5,800,1.740511
2DD,16,6,800,3.528819
2DD,16,7,800,5.549178
2DD,16,8,800,2.073120
2DD,16,9,800,1.859788
2DD,16,10,800,3.300380
2DD,16,11,800,5.545458
2DD,16,12,800,2.073372
2DD,16,13,800,1.858970
2DD,16,14,800,3.531700
2DD,16,15,800,5.212749
2DD,16,0,1200,4.665568
2DD,16,1,1200,5.855376
2DD,16,2,1200,10.311032
2DD,16,3,1200,21.073518
2DD,16,4,1200,5.421628
2DD,16,5,1200,5.589908
2DD,16,6,1200,10.309542
2DD,16,7,1200,21.068543
2DD,16,8,1200,5.420559
2DD,16,9,1200,5.857012
2DD,16,10,1200,9.796690
2DD,16,11,1200,21.063373
2DD,16,12,1200,5.419841
2DD,16,13,1200,5.856712
2DD,16,14,1200,10.312550
2DD,16,15,1200,20.313210
2DD,16,0,1500,9.906434
2DD,16,1,1500,10.595528
2DD,16,2,1500,20.316650
2DD,16,3,1500,39.261611
2DD,16,4,1500,11.093488
2DD,16,5,1500,10.184148
2DD,16,6,1500,20.313606
2DD,16,7,1500,39.257971
2DD,16,8,1500,11.077121
2DD,16,9,1500,10.597495
2DD,16,10,1500,19.512213
2DD,16,11,1500,39.246847
2DD,16,12,1500,11.090435
2DD,16,13,1500,10.595449
2DD,16,14,1500,20.317514
2DD,16,15,1500,38.067778
2DD,16,0,1800,17.262428
2DD,16,1,1800,17.459977
2DD,16,2,1800,36.291038
2DD,16,3,1800,73.775554
2DD,16,4,1800,18.993515
2DD,16,5,1800,16.866010
2DD,16,6,1800,36.288218
2DD,16,7,1800,73.771818
2DD,16,8,1800,18.992144
2DD,16,9,1800,17.463117
2DD,16,10,1800,35.129829
2DD,16,11,1800,73.764673
2DD,16,12,1800,18.990663
2DD,16,13,1800,17.462238
2DD,16,14,1800,36.293265
2DD,16,15,1800,72.046509
2DD,16,0,2700,66.437140
2DD,16,1,2700,61.003959
2DD,16,2,2700,129.449103
2DD,16,3,2700,236.384994
2DD,16,4,2700,70.397379
2DD,16,5,2700,59.672639
2DD,16,6,2700,129.445298
2DD,16,7,2700,236.381457
2DD,16,8,2700,70.394415
2DD,16,9,2700,61.013119
2DD,16,10,2700,126.827706
2DD,16,11,2700,236.366025
2DD,16,12,2700,70.392600
2DD,16,13,2700,61.008023
2DD,16,14,2700,129.454239
2DD,16,15,2700,232.457792
